# Jars Ready for Labeling-30 November 2021

Arthropoda | Collembola | - | Entomobryomorpha | - | - | Entomobryidae | - | Pseudosinella violenta
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Embaphion sp.
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Mitys inflatus
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Nyctoporus sponsa
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Platydema micans
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Poecilocrypticus formicophilus
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Tenebrio molitor

Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | Alleculinae | --

Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | Alleculinae | Androchirus sp.
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | Alleculinae | Hymenorus sp.

Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Absolus mexicanus mexicanus

Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Eleodes sallei
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Eleodes sp.
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Eleodes (Blapylis) constrictum
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Eleodes (Blapylis) robinetti
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Eleodes (Caverneleodes) easterlai
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Eleodes (Eleodes) gracilis gracils
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Eleodes (Eleodes) hispilabris
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Eleodes (Eleodes) hispilabris nuptus
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Eleodes (Eleodes) spinipes macrurus
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Eleodes (Melaneleodes) tricostatus
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Eleodes (Metablapylis) nigrinus
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Eleodes (Promus) fusiformis
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Eleodes (Promus) goryi
Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Eleodes (Promus) knullorum

Arthropoda | Insecta | - | Coleoptera | - | - | Tenebrionidae | - | Embaphion muricatum

Arthropoda | Insecta | - | Coleoptera | - | - | Trogidae | - | Omorgus inflatus
Arthropoda | Insecta | - | Coleoptera | - | - | Trogidae | - | Omorgus sp.
Arthropoda | Insecta | - | Coleoptera | - | - | Trogidae | - | Omorgus suberosus
Arthropoda | Insecta | - | Coleoptera | - | - | Trogossitidae | - | --

Arthropoda | Insecta | - | Embioptera | - | - | - | - | --

Arthropoda | Insecta | - | Ephemeroptera | - | - | - | - | --
Arthropoda | Insecta | - | Ephemeroptera | - | - | Baetidae | - | --
Arthropoda | Insecta | - | Ephemeroptera | - | - | Baetidae | - | Callibaetis sp.
Arthropoda | Insecta | - | Ephemeroptera | - | - | Baetidae | - | Plauditus sp.
Arthropoda | Insecta | - | Ephemeroptera | - | - | Leptophlebiidae | - | Choroterpes (Neochoroterpes) mexicanus
Arthropoda | Insecta | - | Ephemeroptera | - | - | Tricorythidae | - | Tricorythodes sp.

Arthropoda | Insecta | - | Neuroptera | - | - | - | - | --

Arthropoda | Insecta | - | Neuroptera | - | - | Chrysopidae | - | --
Arthropoda | Insecta | - | Neuroptera | - | - | Coniopterygidae | - | --
Arthropoda | Insecta | - | Neuroptera | - | - | Corydalidae | - | Corydalus sp.
Arthropoda | Insecta | - | Neuroptera | - | - | Corydalidae | - | Neohermes sp. prob. californicus

Arthropoda | Insecta | - | Neuroptera | - | - | Myrmeleontidae | - | --
Arthropoda | Insecta | - | Neuroptera | - | - | Myrmeleontidae | - | Eremeleon longior

Arthropoda | Malacostraca | - | Isopoda | - | - | Trichoniscidae | - | -- [country: MEXICO]

# Exclusions per James' Dec 6 response to the problem report
- (75469), 81094, 81867, (53832), (52057), (30446), 246634, 72615
