# Jars dated 2022-03-26

Arthropoda | Insecta | - | Mallophaga | - | - | - | - | --
Arthropoda | Insecta | - | Mantodea | - | - | - | - | --
Arthropoda | Insecta | - | Orthoptera | - | - | Rhaphidophoridae | - | Ceuthophilus (Geotettix) carlsbadensis
Arthropoda | Insecta | - | Orthoptera | - | - | Rhaphidophoridae | - | Ceuthophilus (Geotettix) conicaudus

Arthropoda | Insecta | - | Plecoptera | - | - | - | - | -- 
Arthropoda | Insecta | - | Psocoptera | - | - | - | - | -- 
Arthropoda | Insecta | - | Psocoptera | - | - | Ectopsocidae | - | Ectopsocus sp.
Arthropoda | Insecta | - | Psocoptera | - | - | Ectopsocidae | - | Ectopsocus vachoni
Arthropoda | Insecta | - | Psocoptera | - | - | Epipsocidae | - | --
Arthropoda | Insecta | - | Psocoptera | - | - | Epipsocidae | - | Bertkauia sp.

Arthropoda | Insecta | - | Psocoptera | - | - | Lepidopsocidae | - | --
Arthropoda | Insecta | - | Psocoptera | - | - | Liposcelidae | - | Liposcelis sp.

Arthropoda | Insecta | - | Psocoptera | - | - | Psyllipsocidae | - | Psyllipsocus ramburii
Arthropoda | Insecta | - | Siphonaptera | - | - | - | - | --
Arthropoda | Insecta | - | Thysanoptera | - | - | - | - | --
Arthropoda | Insecta | - | Zygentoma | - | - | Lepismatidae | - | --

