Arthropoda | Arachnida | - | Opilionida | - | - | Sclerosomatidae | - | Leiobunum flavum
Arthropoda | Malacostraca | - | Decapoda | - | - | Cambaridae | - | Procambarus oaxacae reddelli

Arthropoda | Malacostraca | - | Decapoda | - | - | Cambaridae | - | Procambarus hamulatus

Arthropoda | Malacostraca | - | Decapoda | - | - | Cambaridae | - | Cambarus tenebrosus

Arthropoda | Malacostraca | - | Decapoda | - | - | Cambaridae | - | Procambarus simulans

Arthropoda | Malacostraca | - | Decapoda | - | - | Cambaridae | - | Procambarus simulans simulans

Arthropoda | Malacostraca | - | Decapoda | - | - | Cambaridae | - | Procambarus toltecae
Arthropoda | Malacostraca | - | Decapoda | - | - | Cambaridae | - | Procambarus xilitlae

Arthropoda | Malacostraca | - | Decapoda | - | - | Cambaridae | - | Procambarus cuetzalanae
Arthropoda | Malacostraca | - | Decapoda | - | - | Cambaridae | - | Procambarus xochitlanae

Arthropoda | Malacostraca | - | Decapoda | - | - | Cambaridae | - | Procambarus clarkii

Arthropoda | Malacostraca | - | Decapoda | - | - | Palaemonidae | - | Calathaemon holthuisi

Arthropoda | Malacostraca | - | Decapoda | - | - | Palaemonidae | - | Creaseria morleyi

Arthropoda | Malacostraca | - | Decapoda | - | - | Palaemonidae | - | Neopalaemon nahuatlus

Arthropoda | Malacostraca | - | Decapoda | - | - | Palaemonidae | - | Macrobrachium villalobosi
Arthropoda | Malacostraca | - | Decapoda | - | - | Palaemonidae | - | Neopalaemon nahuatlus

Arthropoda | Malacostraca | - | Decapoda | - | - | Palaemonidae | - | Palaemon antrorum

Arthropoda | Malacostraca | - | Decapoda | - | - | Pseudothelphyusa | - | Pseudothelphusa grantensis

- 91961,91962,91963,91964,(60535),91966,91967,91968,(68528),(60522),(68526)
- (60554),(60555),(60556),(60577),95648
