Nematomorpha | Gordioidea | - | Gordioida | - | - | - | - | --
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Apenes sp.
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Atranus sp.
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Atranus pubescens
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Aztecarpalus schaefferi
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Badister sp.
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Bradycellus sp.
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Bradycellus (Stenocellus) rupestris

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Calathus (Neocalathus) opaculus
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Chlaenius (Chlaeniellus) nemoralis
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Clivina (Semiclivina) dentipes
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Cyclotrachelus (Evarthrus) substriatus
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Discoderus sp.
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Elaphropus sp.
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Elaphropus (Baratachys) sp. (granarius-like)
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Galerita (Progalaretina) mexicana
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Harpalus sp.
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Harpalus (Pseudoophonus) compar
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Harpalus (Pseudoophonus) paratus
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Harpalus (Pseudoophorus) paratus

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Elaphropus (Baratachys) ferrugineus

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Pachyteles urrutiai

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Pasimachus (Pasimachus) californicus

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Rhadine exilis

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Rhadine grubbsi

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Rhadine howdeni

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Rhadine infernalis infernalis

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Rhadine longicollis

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Rhadine n. sp. 8

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Rhadine noctivaga

